ticker,expiry,option_type,downloaded_at_utc,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00225000,2026-01-21 20:34:37+00:00,225.0,37.82,36.95,37.6,1.4199982,3.9010937,2.0,248.0,0.343207251586914,True,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00230000,2026-01-21 20:21:26+00:00,230.0,34.79,33.65,33.95,2.3100014,7.1120734,49.0,744.0,0.33209896423339846,True,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00235000,2026-01-20 20:54:40+00:00,235.0,30.75,30.2,30.85,1.6499996,5.670102,1.0,85.0,0.32709413146972655,True,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00240000,2026-01-21 16:58:52+00:00,240.0,26.45,27.25,27.55,0.5700016,2.2024791,24.0,650.0,0.3173286041259765,True,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00245000,2026-01-21 20:27:47+00:00,245.0,25.2,24.3,24.7,2.0100002,8.66753,18.0,328.0,0.3117134259033203,True,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00250000,2026-01-21 20:29:04+00:00,250.0,22.3,21.6,21.8,1.8499985,9.046447,39.0,1703.0,0.30332117584228513,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00255000,2026-01-21 20:26:14+00:00,255.0,19.85,19.05,19.25,1.8500004,10.27778,71.0,424.0,0.29743134216308587,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00260000,2026-01-21 19:27:00+00:00,260.0,16.55,16.7,16.9,0.069999695,0.42475545,76.0,1374.0,0.29195349166870105,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00265000,2026-01-21 20:45:29+00:00,265.0,14.9,14.55,14.75,1.25,9.15751,13.0,133.0,0.2868723657226562,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00270000,2026-01-21 20:53:32+00:00,270.0,12.8,12.65,12.8,0.8000002,6.8376083,68.0,1734.0,0.28220322296142575,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00275000,2026-01-21 17:47:04+00:00,275.0,12.15,10.9,11.05,1.7999992,17.391296,43.0,330.0,0.2779918392944336,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00280000,2026-01-21 20:02:34+00:00,280.0,10.3,9.35,9.5,1.5500002,17.714287,91.0,2072.0,0.2743297665405273,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00285000,2026-01-21 20:01:32+00:00,285.0,8.95,8.0,8.15,1.1499996,14.743585,46.0,464.0,0.27136959106445313,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00290000,2026-01-21 20:56:31+00:00,290.0,6.8,6.8,6.95,0.26999998,4.1347623,122.0,1497.0,0.2685009674072265,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00295000,2026-01-21 19:47:49+00:00,295.0,6.55,5.75,6.05,0.7000003,11.965817,9.0,583.0,0.26853148468017574,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00300000,2026-01-21 20:59:53+00:00,300.0,4.96,4.95,5.05,0.30999994,6.666665,230.0,4214.0,0.26474734283447265,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00305000,2026-01-21 20:01:40+00:00,305.0,4.75,4.15,4.35,0.76,19.047619,19.0,123.0,0.26453372192382807,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00310000,2026-01-21 18:52:52+00:00,310.0,3.61,3.5,3.65,-0.0400002,-1.0958959,37.0,11141.0,0.2623975128173829,False,REGULAR,USD
AAPL,2026-08-21,call,2026-01-21T21:40:12.897605+00:00,AAPL260821C00315000,2026-01-21 17:48:47+00:00,315.0,2.91,3.0,3.1,0.0400002,1.3937353,31.0,224.0,0.26163458099365233,False,REGULAR,USD
