ticker,expiry,option_type,downloaded_at_utc,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,atm_diff,P_mkt
AAPL,2026-08-21,CALL,2026-01-21T21:40:12.897605+00:00,AAPL260821C00250000,2026-01-21 20:29:04,250.0,22.3,21.6,21.8,1.8499985,9.046447,39.0,1703.0,0.3033211758422851,False,REGULAR,USD,2.350006103515625,21.700000000000003
NVDA,2026-08-21,CALL,2026-01-21T21:40:14.439057+00:00,NVDA260821C00185000,2026-01-21 20:23:25,185.0,26.08,25.4,25.55,2.959999,12.802764,444.0,2822.0,0.4725394543457031,False,REGULAR,USD,1.67999267578125,25.475
INTC,2027-03-19,CALL,2026-01-21T21:40:17.579065+00:00,INTC270319C00055000,2026-01-21 20:38:12,55.0,14.55,14.2,14.8,4.0600004,39.726032,468.0,1269.0,0.6466710137939453,False,REGULAR,USD,0.75,14.5
COST,2026-08-21,CALL,2026-01-21T21:40:19.104607+00:00,COST260821C00980000,2026-01-21 18:07:08,980.0,78.0,78.3,84.0,7.199997,10.169487,4.0,45.0,0.2764583463287353,True,REGULAR,USD,2.8599853515625,81.15
WBD,2027-03-19,CALL,2026-01-21T21:40:20.669207+00:00,WBD270319C00030000,2026-01-21 16:42:36,30.0,2.15,0.0,2.8,-0.14999986,-6.5217333,20.0,21.0,0.278327529296875,False,REGULAR,USD,1.4699993133544922,2.15
TSLA,2026-08-21,CALL,2026-01-21T21:40:22.089527+00:00,TSLA260821C00430000,2026-01-21 20:55:49,430.0,69.2,68.6,69.75,4.8399963,7.520193,34.0,1322.0,0.5249070947265625,True,REGULAR,USD,1.44000244140625,69.175
META,2026-08-21,CALL,2026-01-21T21:40:24.926618+00:00,META260821C00610000,2026-01-21 19:39:19,610.0,77.0,76.15,76.6,5.4800034,7.479192,43.0,149.0,0.404577487487793,True,REGULAR,USD,2.96002197265625,76.375
NFLX,2026-08-21,CALL,2026-01-21T21:40:31.016811+00:00,NFLX260821C00085000,2026-01-21 20:43:18,85.0,10.46,10.45,10.85,-2.6400003,-20.091326,658.0,150.0,0.4126035302734374,True,REGULAR,USD,0.3600006103515625,10.649999999999999
